Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-g21o,Randomise questionnaire elements?,Question Key,Response
2,1653644594610,27/05/2022 09:43:14,1653644595993,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,age,34
3,1653644594666,27/05/2022 09:43:14,1653644595996,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,age-quantised,17
4,1653644594666,27/05/2022 09:43:14,1653644595996,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,gender,Female
5,1653644594666,27/05/2022 09:43:14,1653644595996,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,gender-quantised,1
6,1653644594666,27/05/2022 09:43:14,1653644595996,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,native-language,Yes
7,1653644594666,27/05/2022 09:43:14,1653644595996,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,native-language-quantised,1
8,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,language1,Yes
9,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,language1-quantised,1
10,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,language2,Yes
11,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,language2-quantised,1
12,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,language-3,No
13,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,language-3-quantised,2
14,1653644594666,27/05/2022 09:43:14,1653644595997,1,27/05/2022 10:43:15,85439,16,questionnaire-mbc5,,22124199,BLIND,6525846,,complete,,6290994c39135296b2385553,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1536x864,1519x754,,Demographics,5,continue,No,END QUESTIONNAIRE,17784
1,1653644628933,27/05/2022 09:43:48,1653644628982,1,27/05/2022 10:43:48,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1422x652,,Demographics,5,continue,No,BEGIN QUESTIONNAIRE,
2,1653644642819,27/05/2022 09:44:02,1653644642887,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,age,31
3,1653644642901,27/05/2022 09:44:02,1653644642888,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,age-quantised,14
4,1653644642901,27/05/2022 09:44:02,1653644642888,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,gender,Female
5,1653644642901,27/05/2022 09:44:02,1653644642888,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,gender-quantised,1
6,1653644642901,27/05/2022 09:44:02,1653644642888,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,native-language,Yes
7,1653644642901,27/05/2022 09:44:02,1653644642888,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,native-language-quantised,1
8,1653644642901,27/05/2022 09:44:02,1653644642889,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,language1,Yes
9,1653644642901,27/05/2022 09:44:02,1653644642889,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,language1-quantised,1
10,1653644642901,27/05/2022 09:44:02,1653644642889,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,language2,Yes
11,1653644642901,27/05/2022 09:44:02,1653644642889,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,language2-quantised,1
12,1653644642901,27/05/2022 09:44:02,1653644642889,1,27/05/2022 10:44:02,85439,16,questionnaire-mbc5,,22124227,BLIND,6525871,,complete,,62909a7e208de9d8cd1bf2b4,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1404x652,,Demographics,5,continue,No,language-3,No
